state	action	state_	source_mean	source_var	plan_mean	plan_var
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.10386726260185242	0.0031287241727113724	-0.03571620583534241	0.01699107512831688
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.11673755943775177	0.006697988137602806	-0.020612038671970367	0.013875886797904968
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.12893620133399963	0.010201631113886833	-0.0052543580532073975	0.010819515213370323
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.14078468084335327	0.013704856857657433	0.009943168610334396	0.007632790133357048
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.1522437036037445	0.017207348719239235	0.025005288422107697	0.004414055496454239
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.1627873331308365	0.020748792216181755	0.039657898247241974	0.001208484172821045
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.1727631539106369	0.024341052398085594	0.05409332364797592	-0.0020298976451158524
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.18204422295093536	0.027926979586482048	0.06803761422634125	-0.005211416631937027
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.19124840199947357	0.0317365899682045	0.08226532489061356	-0.008426489308476448
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.20038563013076782	0.03558866307139397	0.0961293876171112	-0.011725243180990219
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.20927032828330994	0.039465080946683884	0.11016379296779633	-0.015167903155088425
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.21780695021152496	0.043512217700481415	0.12362515926361084	-0.018904300406575203
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.22544357180595398	0.047662753611803055	0.13572640717029572	-0.0227485541254282
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.23322559893131256	0.051835909485816956	0.14811718463897705	-0.026774687692523003
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2408233880996704	0.05603502690792084	0.16043180227279663	-0.031308285892009735
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.24813023209571838	0.06034240871667862	0.1722443848848343	-0.03613976761698723
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2551574409008026	0.06468798220157623	0.1835324466228485	-0.0410863533616066
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.26200056076049805	0.06904331594705582	0.19452929496765137	-0.04615558683872223
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.26846086978912354	0.07343710958957672	0.20485827326774597	-0.051378242671489716
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2746157646179199	0.07773904502391815	0.21464389562606812	-0.05677296593785286
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2802411615848541	0.08204381912946701	0.2233271449804306	-0.06237010657787323
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.28485050797462463	0.08643995225429535	0.22972172498703003	-0.06830857694149017
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.28891727328300476	0.09095601737499237	0.23499749600887299	-0.07445953041315079
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2925552725791931	0.09554357081651688	0.23932479321956635	-0.08067790418863297
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2954551875591278	0.10026784241199493	0.24223041534423828	-0.08704130351543427
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.29758238792419434	0.10506714880466461	0.2435101419687271	-0.09366682171821594
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2989504039287567	0.1099654883146286	0.24321675300598145	-0.10055853426456451
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.29957717657089233	0.11491043120622635	0.24174201488494873	-0.10766396671533585
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.29980236291885376	0.11990006268024445	0.23973879218101501	-0.11495453119277954
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2993505001068115	0.12498949468135834	0.23647616803646088	-0.12253212928771973
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2984853684902191	0.1302385926246643	0.2326468825340271	-0.13037410378456116
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.29745662212371826	0.13564574718475342	0.22857262194156647	-0.13854140043258667
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2964484691619873	0.14135605096817017	0.2246778905391693	-0.14708305895328522
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2955559194087982	0.14722616970539093	0.22091364860534668	-0.15598802268505096
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2944326400756836	0.15322650969028473	0.2170371115207672	-0.1652008295059204
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2935836613178253	0.15928581357002258	0.21367114782333374	-0.17468038201332092
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2930213510990143	0.16537924110889435	0.21089980006217957	-0.1844402551651001
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.29279446601867676	0.17166104912757874	0.2086627185344696	-0.19446583092212677
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2930848300457001	0.17827007174491882	0.20727324485778809	-0.20509688556194305
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.29373931884765625	0.18522512912750244	0.20651695132255554	-0.216172993183136
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.29448261857032776	0.19253896176815033	0.20603081583976746	-0.22771039605140686
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2955646216869354	0.20024922490119934	0.20621992647647858	-0.23994193971157074
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2969162166118622	0.20824959874153137	0.20700053870677948	-0.25278139114379883
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2985212206840515	0.21651476621627808	0.2082459181547165	-0.2663439214229584
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.30046382546424866	0.224850594997406	0.21010169386863708	-0.2806060314178467
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3024885058403015	0.23346440494060516	0.2121775597333908	-0.2958561182022095
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3047857880592346	0.2422889620065689	0.21463805437088013	-0.3119491636753082
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.307190865278244	0.2514351010322571	0.21798330545425415	-0.3288656175136566
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3093321621417999	0.26077330112457275	0.22120031714439392	-0.3464813828468323
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3113718032836914	0.27020615339279175	0.22466208040714264	-0.364796906709671
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3132356107234955	0.2798376679420471	0.22810925543308258	-0.383941650390625
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3153485059738159	0.2891996204853058	0.23420225083827972	-0.4034441411495209
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3169201612472534	0.29892998933792114	0.2394701987504959	-0.42381036281585693
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3182374835014343	0.30893439054489136	0.24432812631130219	-0.44536536931991577
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.31941768527030945	0.3192688524723053	0.249076709151268	-0.46805649995803833
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3201165795326233	0.32948628067970276	0.2535525858402252	-0.4913986325263977
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.32140856981277466	0.33995747566223145	0.25880494713783264	-0.5159129500389099
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3223651349544525	0.35071128606796265	0.26351141929626465	-0.5417820811271667
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3229227066040039	0.3618835508823395	0.26806244254112244	-0.5690698027610779
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.32351014018058777	0.3734546899795532	0.27266842126846313	-0.5978401899337769
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.32420143485069275	0.38518115878105164	0.2769858241081238	-0.6278265714645386
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.32523664832115173	0.39670729637145996	0.2823166847229004	-0.6588923335075378
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3267576992511749	0.40815627574920654	0.28843826055526733	-0.6906305551528931
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3279649317264557	0.4193728566169739	0.2951316237449646	-0.7224138975143433
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3296269476413727	0.4308912456035614	0.30302220582962036	-0.7551093101501465
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3321746289730072	0.44237613677978516	0.3123226761817932	-0.7884337306022644
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3340809941291809	0.45315369963645935	0.32153570652008057	-0.8202956318855286
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.33374473452568054	0.46244388818740845	0.32753074169158936	-0.8445349335670471
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.33192625641822815	0.47132188081741333	0.3292028307914734	-0.8662829399108887
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3307042717933655	0.4793171286582947	0.330582857131958	-0.8854367136955261
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3288341760635376	0.4866609275341034	0.3304744064807892	-0.9017171859741211
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.32715845108032227	0.49344372749328613	0.33005890250205994	-0.9167948365211487
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.32501938939094543	0.4993056058883667	0.3289470374584198	-0.9285010099411011
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3255947232246399	0.5036013126373291	0.33228161931037903	-0.9381598234176636
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3270644545555115	0.5068661570549011	0.33663204312324524	-0.9452547430992126
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3277932107448578	0.5100791454315186	0.33942821621894836	-0.9521803259849548
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3283286988735199	0.5128096342086792	0.3445974290370941	-0.9572787880897522
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3275923728942871	0.5153717994689941	0.34826040267944336	-0.9612827897071838
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.32580432295799255	0.517983078956604	0.35063061118125916	-0.9645606279373169
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.32297787070274353	0.5208935737609863	0.34975260496139526	-0.9671046733856201
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3184337615966797	0.5238702893257141	0.34566760063171387	-0.9685437083244324
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3130100667476654	0.5267364382743835	0.33906060457229614	-0.969499945640564
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.3073897957801819	0.529599666595459	0.33147934079170227	-0.97079998254776
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.30311229825019836	0.5317033529281616	0.3272804915904999	-0.9724843502044678
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.29986533522605896	0.5338329672813416	0.324810653924942	-0.9744057059288025
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.29852157831192017	0.5351130962371826	0.3253364861011505	-0.9752504229545593
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2981300354003906	0.53629469871521	0.3271968364715576	-0.9768880605697632
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2985033690929413	0.537587583065033	0.3286893367767334	-0.9788200259208679
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2987712025642395	0.5376063585281372	0.3296022117137909	-0.9774950742721558
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2984675168991089	0.5380492806434631	0.33026209473609924	-0.977199375629425
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.29668304324150085	0.5392895340919495	0.3269931674003601	-0.9781237244606018
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.29394692182540894	0.5415361523628235	0.32005301117897034	-0.9805657863616943
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.28898191452026367	0.5443089604377747	0.31065383553504944	-0.9835096001625061
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.28423377871513367	0.547299861907959	0.30196133255958557	-0.9876413345336914
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2815055549144745	0.5497939586639404	0.2979739308357239	-0.9917945265769958
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.28054261207580566	0.5516965389251709	0.29903891682624817	-0.9958618879318237
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.28145158290863037	0.5530097484588623	0.30427926778793335	-0.9996493458747864
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.28406742215156555	0.5537240505218506	0.31302279233932495	-1.0036717653274536
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2852780818939209	0.5547475218772888	0.3188289999961853	-1.0071306228637695
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.28668397665023804	0.5554922223091125	0.3250761032104492	-1.0103448629379272
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2870835065841675	0.556435763835907	0.3282742500305176	-1.0129109621047974
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2858857810497284	0.5576790571212769	0.328422486782074	-1.0145004987716675
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2820892333984375	0.5590686798095703	0.32374849915504456	-1.0145673751831055
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2772882878780365	0.5584458112716675	0.3112645149230957	-1.0003610849380493
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.27308520674705505	0.5581635236740112	0.30072683095932007	-0.9889223575592041
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2705441117286682	0.5568010210990906	0.2965817153453827	-0.9772630929946899
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.27071845531463623	0.5548076033592224	0.29837438464164734	-0.9676991701126099
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.27147427201271057	0.5531277060508728	0.3016941249370575	-0.9602919220924377
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.27326691150665283	0.551721453666687	0.30771350860595703	-0.9554151296615601
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2755630612373352	0.5507277846336365	0.3147973120212555	-0.9527370929718018
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.27716389298439026	0.5504323840141296	0.321091890335083	-0.9517987966537476
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2771431803703308	0.5510438084602356	0.3239564001560211	-0.951811671257019
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2762466371059418	0.5526716113090515	0.32459044456481934	-0.9542300701141357
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.27394402027130127	0.5548679828643799	0.32198596000671387	-0.9572456479072571
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.27151766419410706	0.5574728846549988	0.3192371726036072	-0.9614747166633606
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.26837554574012756	0.5607925057411194	0.31522440910339355	-0.9674594402313232
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.2677696645259857	0.5632490515708923	0.316536545753479	-0.974571168422699
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.26915255188941956	0.5651113390922546	0.3218274414539337	-0.9823506474494934
[0 1 0]	-1.5	[-0.02624699  0.99965549  0.525     ]	-0.27085596323013306	0.5672529935836792	0.32734575867652893	-0.9913095831871033
